mode	independence	ind_3	ind_3_alt	mode_ind	mode_ind_3	mode_ind_3_alt	income_k	veh_per_driver	n_adults	has_mom	has_dad	non_work_mom	non_work_dad	age	female	has_lil_sib	has_big_sib	distance	density
7	22	20	20	722	720	720	30	1	1	TRUE	FALSE	FALSE	FALSE	10	FALSE	FALSE	FALSE	1.637962	1158.3011583011585
7	22	20	20	722	720	720	112.5	1.5	2	TRUE	TRUE	TRUE	FALSE	8	FALSE	FALSE	FALSE	1.14239	2702.702702702703
7	22	20	20	722	720	720	112.5	1	2	TRUE	TRUE	FALSE	FALSE	11	TRUE	FALSE	FALSE	0.566368	579.1505791505792
7	22	20	20	722	720	720	12.5	1	1	TRUE	FALSE	TRUE	FALSE	11	TRUE	FALSE	TRUE	0.8881680000000001	2702.702702702703
7	23	20	20	723	720	720	87.5	1	2	TRUE	TRUE	FALSE	FALSE	9	FALSE	FALSE	FALSE	1.0603310000000001	6563.706563706564
8	24	20	30	824	820	830	175	3	2	TRUE	TRUE	FALSE	FALSE	12	FALSE	FALSE	FALSE	0.693479	2702.702702702703
7	22	20	20	722	720	720	30	1	2	TRUE	TRUE	TRUE	TRUE	8	TRUE	TRUE	FALSE	1.888966	6563.706563706564
7	23	20	20	723	720	720	175	1	2	TRUE	TRUE	TRUE	FALSE	11	TRUE	TRUE	FALSE	1.594519	2702.702702702703
7	22	20	20	722	720	720	250	1	2	TRUE	TRUE	TRUE	FALSE	13	FALSE	FALSE	FALSE	1.692668	11583.011583011583
7	21	20	20	721	720	720	137.5	1.5	2	TRUE	TRUE	TRUE	FALSE	9	FALSE	TRUE	FALSE	1.250193	6563.706563706564
7	22	20	20	722	720	720	250	1	2	TRUE	TRUE	TRUE	FALSE	10	FALSE	TRUE	FALSE	1.897011	6563.706563706564
8	24	20	30	824	820	830	62.5	1	1	TRUE	FALSE	FALSE	FALSE	11	FALSE	FALSE	FALSE	0.913912	2702.702702702703
7	22	20	20	722	720	720	62.5	0.5	1	TRUE	FALSE	FALSE	FALSE	12	FALSE	FALSE	TRUE	1.251802	1158.3011583011585
